Rate1	Rate2	 Latitudine
36.172	36.0344	46.2298
35.5714	35.3419	46.2298
35.7168	35.4859	46.2298
36.2382	35.7799	46.2298
35.4752	35.154	46.2299
36.3375	35.862	46.2298
35.6596	35.5188	46.2298
35.7973	35.5292	46.2298
35.4832	35.4193	46.2298
35.2323	35.2208	46.2298
35.3939	35.1392	46.2298
35.6734	35.6067	46.2298
35.8464	35.2392	46.2298
35.6035	35.441	46.2298
35.8408	35.3048	46.2299
35.6786	35.4469	46.2299
35.7657	35.1141	46.2299
34.7727	34.5964	46.2298
35.8652	35.5373	46.2298
35.3632	35.1783	46.2298
34.8628	34.5345	46.2298
36.0621	35.5596	46.2299
35.4792	35.1147	46.2299
34.8072	34.4677	46.2299
35.2113	34.862	46.2299
35.254	34.8977	46.2298
35.6138	35.3899	46.2298
35.6237	35.5185	46.2298
35.5472	35.3741	46.2299
35.97	35.8069	46.2298
36.1505	36.0391	46.2298
35.6183	35.3168	46.2298
35.8028	35.5239	46.2298
36.4542	36.2003	46.2298
36.4939	35.7898	46.2298
35.957	35.6429	46.2298
35.4289	35.2206	46.2299
35.4922	35.2273	46.2299
35.3841	35.1887	46.2298
35.3931	35.0458	46.2298
35.4253	35.1645	46.2299
35.7933	35.4871	46.2299
35.8412	35.5417	46.2299
35.8435	35.6167	46.2298
35.4157	35.2553	46.2298
35.7522	35.4439	46.2298
35.5053	35.3699	46.2299
36.3138	36.0835	46.2298
36.1147	35.7253	46.2298
35.845	35.5814	46.2299
35.8982	35.7425	46.2298
35.3325	35.1527	46.2299
35.6505	35.4276	46.2299
35.5941	35.3857	46.2298
35.2912	34.975	46.2298
36.2478	35.9646	46.2298
35.5408	35.2352	46.2298
35.8659	35.664	46.2299
35.4716	35.3605	46.2297
36.0427	35.6909	46.2298
35.7902	35.4299	46.2297
36.3374	35.919	46.2298
35.6437	35.4116	46.2298
35.912	35.6808	46.2298
36.0442	35.6411	46.2298
36.0582	35.7222	46.2298
35.8151	35.4906	46.2298
35.4562	35.1716	46.2299
35.832	35.5873	46.2299
35.9953	35.7905	46.2299
35.6794	35.4157	46.2299
35.7298	35.4228	46.2299
35.9209	35.4109	46.2299
35.3986	35.2827	46.2299
35.7586	35.5173	46.2298
35.4906	35.3465	46.2299
35.883	35.4044	46.2299
35.3962	35.2562	46.2298
35.396	35.1775	46.2299
36.2498	35.9944	46.23
36.1268	35.734	46.2299
35.4237	35.0457	46.2299
35.2254	34.9881	46.2299
35.837	35.5921	46.2298
36.3152	35.7265	46.2299
35.6009	35.3524	46.2299
35.8	35.3846	46.2298
35.561	35.2942	46.2298
35.7485	35.4156	46.2299
36.1741	35.7969	46.2298
35.847	35.637	46.2299
36.5231	36.2153	46.2299
36.171	35.8655	46.2298
36.1431	35.9013	46.2298
36.5921	36.1989	46.2298
36.1766	35.6008	46.2298
35.5723	35.4129	46.2298
35.8974	35.5782	46.2298
36.2063	35.9913	46.2298
35.9795	35.6728	46.2299
35.5063	35.3969	46.2298
35.6987	35.229	46.2298
35.6136	35.5989	46.2299
35.6903	35.3994	46.2298
36.4064	36.0673	46.2299
35.6783	35.0059	46.2298
35.6279	35.4189	46.2298
35.8413	35.4923	46.2298
35.6931	35.3466	46.2298
35.9782	35.7075	46.2298
35.6378	35.5826	46.2298
35.6187	35.2058	46.2298
35.5992	35.3461	46.2299
35.5811	35.3783	46.2299
35.669	35.4996	46.2298
35.8951	35.5395	46.2299
36.2791	35.7006	46.2298
35.0393	34.854	46.2298
36.0398	35.7753	46.2298
36.3068	36.0817	46.2298
35.8496	35.553	46.2298
36.0535	35.6387	46.2298
36.069	35.7362	46.2298
35.5665	35.2433	46.2299
36.1792	35.4904	46.2299
35.6977	35.5245	46.2298
35.6092	35.5974	46.2298
35.5732	35.2951	46.2298
